label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,sample,type,x_std,y_std,z_std,r,theta,rotation
988,39.5659229208925,738.947937795808,203.45909398242054,1965.0,1.5209191442642673,22470.369168357,46470.65449628127,Ezi_3,E(z) RNAi,0.6570421625300604,0.4933105102919928,-12.473946103874276,0.8216201451441686,0.6440160800202678,90
989,41.23447820343461,737.0568031704095,244.84081902245705,2296.0,1.4471537203861011,10265.630118890356,30098.878467635404,Ezi_3,E(z) RNAi,0.5699228572137971,0.49906332290402733,-13.046181082204619,0.7575462120839545,0.7192083242676096,90
990,42.56400143420581,743.7812836141986,489.2301900322696,3990.0,1.621512210809354,15834.033345285048,31545.85550376479,Ezi_3,E(z) RNAi,0.06035258913927044,0.5754898862499893,-24.09793172087165,0.5786458711438622,1.4663065950840772,90
991,41.038821954484604,755.2991967871486,177.9103078982597,1935.0,1.4603039177954822,16060.982597054886,32368.5843373494,Ezi_3,E(z) RNAi,0.7138561950111728,0.5248535392779041,-8.918079868309235,0.8860371915717602,0.63398569240624,90
992,41.22924901185771,759.8651185770751,275.25049407114625,3290.0,1.3820984808211898,27344.545454545456,43026.9209486166,Ezi_3,E(z) RNAi,0.5113482880637501,0.5597190836542638,-13.570567375796998,0.7581309414029326,0.8305287987585509,90
993,41.373493975903614,753.9759036144578,260.8721037998146,2913.0,1.476836855209199,21931.629749768304,39057.50046339203,Ezi_3,E(z) RNAi,0.540098790824147,0.5424173607105385,-12.953717586766928,0.7654562672353608,0.7875399941107091,90
994,40.06119475473531,753.5614375910636,776.769305488101,2862.0,1.4868273385402206,7814.797474502186,25063.34288489558,Ezi_3,E(z) RNAi,-0.5382949333771281,0.6701464602078218,-41.07135484945948,0.8595683297030903,2.2475156458129555,90
995,39.81539509536785,765.8085831062671,219.87397820163488,1801.0,1.3939766394649373,15399.445504087193,26538.953678474114,Ezi_3,E(z) RNAi,0.6285801646638431,0.559884373700454,-11.829218698685217,0.8417740405374674,0.7276602708950418,90
996,38.14193548387097,798.8430107526882,500.1634408602151,652.0,1.9424724317848097,6944.903225806452,31618.133333333335,Ezi_3,E(z) RNAi,0.050081480556806834,0.7067696435691475,-26.518200603959606,0.708541801000916,1.5000548747196039,90
997,39.80793650793651,805.1888888888889,558.5777777777778,1573.0,1.4461178341589698,5988.768253968254,26979.20238095238,Ezi_3,E(z) RNAi,-0.07083957107374794,0.7359356369809369,-27.594661332816628,0.7393372076450974,1.666758509046421,90
998,40.51887396033269,810.0524632117722,327.7485604606526,2166.0,1.3580380255825653,14804.050543825975,31906.404990403073,Ezi_3,E(z) RNAi,0.4126786563134168,0.6896600432663813,-14.67304494206919,0.8037005964006958,1.031568982904999,90
999,40.39894419306184,828.1365007541478,348.3582202111614,1659.0,1.3224570572555494,6879.315987933635,31574.230015082958,Ezi_3,E(z) RNAi,0.3735696399180979,0.736890685885192,-15.022505190266045,0.8261732014613438,1.101601050487259,90
1000,38.274647887323944,837.0633802816901,299.63239436619716,976.0,1.5202443144693225,5769.735211267605,19277.65774647887,Ezi_3,E(z) RNAi,0.47763645526840115,0.7457238599196392,-14.196582903603051,0.8855736325426639,1.0011281985323977,90
1001,39.886152162014234,847.5785440613026,395.2654625068418,3168.0,1.92447088742729,6538.926108374384,24119.12424740011,Ezi_3,E(z) RNAi,0.2798308973841519,0.793872711389976,-17.06633303313737,0.8417477134037797,1.2319064197129164,90
1002,40.1905574516496,852.8077360637087,607.3765642775882,2391.0,1.47472686057683,9835.861774744028,27619.41240045506,Ezi_3,E(z) RNAi,-0.1624685949481811,0.8588732807270862,-27.534066608692108,0.8741048888384874,1.7577520530990576,90
1003,41.42468989958653,847.7743650324867,425.8298877731837,3347.0,1.490582013999795,6114.075014766687,29757.919669226227,Ezi_3,E(z) RNAi,0.21579715454183068,0.8017986311382168,-17.109570522330934,0.8303309321008515,1.3078849860496187,90
1004,40.23708609271523,258.2966887417219,232.74834437086093,1070.0,1.5574677785009332,15390.202649006622,19235.054304635763,Ezi_3,E(z) RNAi,0.49047602995380823,-0.6179681138969997,-35.66176728561824,0.7889558452490635,-0.8999138949045498,90
1005,40.57178526841448,280.77070328755724,460.9758635039534,4652.0,1.8860157730801068,7462.207240948814,27655.30836454432,Ezi_3,E(z) RNAi,0.018258775700015217,-0.5088239335886577,-46.13477898409245,0.5091514296186335,-1.534927446842576,90
1006,40.71938106477839,328.48387096774195,331.1510621557828,4595.0,1.4593088961099558,8592.498819826907,37582.652766850246,Ezi_3,E(z) RNAi,0.3000826964487189,-0.43015971335279757,-37.028773143177126,0.5244873722976512,-0.9616777877724824,90
1007,39.9054945054945,390.45604395604397,306.51758241758245,1674.0,1.8668129808550065,15114.267032967033,32851.17472527472,Ezi_3,E(z) RNAi,0.3652460751348403,-0.2920068329615374,-33.68160492995813,0.4676245137903194,-0.6744236229435864,90
1008,39.45514950166113,391.9734219269103,287.8233665559247,2332.0,1.4641406520963096,8196.643410852714,26944.16888150609,Ezi_3,E(z) RNAi,0.40471135723323304,-0.29309163953010164,-33.08959634301453,0.49969389813765847,-0.6267830902568453,90
1009,40.46310160427807,408.9775401069519,171.1235294117647,2249.0,1.3720370583949146,53811.319786096254,40085.74973262032,Ezi_3,E(z) RNAi,0.6522707374741028,-0.2827010227906851,-25.233958673057614,0.7108987151851587,-0.40897284126645506,90
1010,39.47868217054263,409.0484496124031,312.85368217054264,1370.0,1.791157577521832,8568.187984496124,27166.491279069767,Ezi_3,E(z) RNAi,0.3561231259977804,-0.2471210489928629,-33.57238653543616,0.43346567767905675,-0.6066339308301625,90
1011,39.96597731821214,411.0486991327552,157.69513008672448,2301.0,1.5587473863312944,44784.29419613075,36302.15076717812,Ezi_3,E(z) RNAi,0.6808549154023755,-0.28118036168912663,-24.93632163264175,0.7366313946793227,-0.3916468390048149,90
1012,39.362487360970675,427.6572295247725,239.45601617795754,2363.0,1.6288019153220235,38980.441860465115,44480.655207280084,Ezi_3,E(z) RNAi,0.5136465288275573,-0.22209750563543007,-29.01216726542993,0.559607057305462,-0.4081164440778578,90
1013,40.38960370560988,426.1785898095728,155.1878538342769,2394.0,1.3436409038779082,27077.363355635614,41664.11682964488,Ezi_3,E(z) RNAi,0.6893591549205096,-0.24663717205674152,-23.680424419873013,0.732151582059935,-0.3435866483506452,90
1014,39.915866483767715,443.36854138088705,162.0896204846822,2662.0,1.3832267263436493,50522.2162780064,43893.86602652035,Ezi_3,E(z) RNAi,0.6787521650938868,-0.20486956092741948,-23.71256423070291,0.7089965011297535,-0.2931372704655046,90
1015,42.414090782511835,441.1979949874687,247.63074352548037,4808.0,1.8528235334644825,40644.322751322754,42727.61876914508,Ezi_3,E(z) RNAi,0.4991597540985122,-0.18884103777972772,-25.763220163604487,0.533686609970132,-0.36167628001809593,90
1016,40.26568265682657,458.16441164411646,282.8027880278803,3124.0,1.7872758531526045,47934.58138581386,44012.19106191062,Ezi_3,E(z) RNAi,0.42960542512735245,-0.14038846662013316,-28.944353433364014,0.4519621033436382,-0.31584522333440596,90
1017,40.69461077844311,469.5918931368033,178.0115154306771,3106.0,1.5091413333111545,43065.47812068171,41359.19161676647,Ezi_3,E(z) RNAi,0.6511181836624391,-0.1399521000118582,-22.543867425383574,0.6659890985546257,-0.2117199224508851,90
1018,40.24220885729907,474.4439584472389,160.1858939311099,2274.0,1.52369768664412,46522.18151995626,35448.13395297977,Ezi_3,E(z) RNAi,0.6894982218461048,-0.13306016142972432,-21.844047834556655,0.7022199117716932,-0.19063764898445193,90
1019,42.660505237215034,487.78558225508317,214.8644485520641,2549.0,1.6015216680032638,56424.48243992606,47641.521873074555,Ezi_3,E(z) RNAi,0.5778291201351342,-0.08861730911458365,-21.650951461609985,0.584584912182014,-0.15217680722444263,90
1020,41.844573881054565,488.13151440833843,235.56621704475782,4436.0,1.7858504659985641,53534.201103617415,43776.36327406499,Ezi_3,E(z) RNAi,0.5347259010873975,-0.08257527788523877,-23.523815138292157,0.5410641974955963,-0.153215162797463,90
1021,40.8515625,483.9765625,107.99913194444444,3013.0,1.7152853386763074,35032.846354166664,39892.733506944445,Ezi_3,E(z) RNAi,0.8006072577894177,-0.1239408095870076,-18.083254429417792,0.8101440029440284,-0.15358928866941626,90
1022,39.77365356622999,498.11062590975257,101.7117903930131,1759.0,1.5516328278143128,23709.1077147016,33865.11062590975,Ezi_3,E(z) RNAi,0.8169741808572526,-0.09251373521801953,-18.17523016454733,0.8221955992288993,-0.11275914483469798,90
1023,39.801372997711674,519.8846681922197,101.73546910755148,2710.0,1.5640853972755435,26150.791304347826,38647.356979405035,Ezi_3,E(z) RNAi,0.8216897079507393,-0.04184054437100704,-17.136942092821826,0.8227542812440621,-0.05087618587060243,90
1024,40.597329585382994,527.0846802529867,342.9360505973296,3391.0,1.3914280862084842,46263.74104005622,49026.3011243851,Ezi_3,E(z) RNAi,0.31895309773750524,0.034948850731533865,-28.53327780480089,0.3208621210485987,0.10913824091011394,90
1025,42.193630112196885,536.3778501628665,327.39630836047775,3584.0,1.2534769667800165,42102.20267824828,41425.079985522985,Ezi_3,E(z) RNAi,0.35328334176071996,0.05254975139163953,-25.702052769219193,0.3571702618317275,0.14766405732531152,90
1026,41.049766718507,552.0393986521514,247.817522032141,2476.0,1.4601516020347376,19976.194401244167,34808.626231207876,Ezi_3,E(z) RNAi,0.5232049829452103,0.06927250914680227,-21.982994878865675,0.5277709111936651,0.13163470805130828,90
1027,39.41978287092883,552.4897466827503,285.73341375150784,1236.0,1.512447041622508,13468.784077201448,34581.56212303981,Ezi_3,E(z) RNAi,0.44423619177021845,0.07992519763396233,-25.556966678515963,0.45136884174180014,0.17801157094961795,90
1028,41.52374491180461,565.2202623247399,116.32202623247399,2613.0,1.6653696474955213,26047.031659882407,38574.596110357306,Ezi_3,E(z) RNAi,0.8009202938550783,0.06712979369188932,-14.069402207986336,0.8037286397224007,0.08362037500144627,90
1029,41.211597779148676,579.9870450339297,223.12584824182602,2428.0,1.719063129679919,19413.201110425664,37282.409006785936,Ezi_3,E(z) RNAi,0.5809228106866664,0.12813998058777898,-19.240619274373273,0.5948875243280303,0.21710350588769162,90
1030,39.976259409380425,594.9693109438332,138.89171974522293,2304.0,1.6315869201810254,15146.354950781702,32927.21887666474,Ezi_3,E(z) RNAi,0.7604383587521792,0.14213055087143345,-15.402640634236327,0.7736068710609577,0.1847741368534044,90
1031,40.797872340425535,596.9235055724417,317.45542046605874,2378.0,1.4815922477408503,12817.968085106382,33744.19706180345,Ezi_3,E(z) RNAi,0.38748939772035307,0.19110012811102473,-23.76458322577217,0.4320501039344072,0.458172809246167,90
1032,40.891129032258064,598.5830645161291,361.3048387096774,1632.0,1.504291111678174,10016.159677419355,33849.1685483871,Ezi_3,E(z) RNAi,0.2961765544896371,0.2058810054408533,-25.87142355024818,0.3607042276307413,0.6074495627801642,90
1033,40.1900826446281,598.5925619834711,252.96280991735537,1539.0,1.4626656412765153,15936.60909090909,36028.79008264463,Ezi_3,E(z) RNAi,0.5227460525541641,0.1789697533764607,-20.944390389950996,0.5525338071870282,0.3298565715882162,90
1034,42.552083333333336,637.2511574074074,342.3370949074074,4500.0,1.3990982617965213,6515.053530092592,28795.242766203704,Ezi_3,E(z) RNAi,0.3440980337314945,0.29097922448241476,-21.432606702401927,0.450635513356713,0.7019509061437765,90
1035,40.34309623430963,641.1155857740586,570.782949790795,2366.0,1.663595695651406,7553.637029288703,29713.041841004186,Ezi_3,E(z) RNAi,-0.13234823345462954,0.3571145757856571,-35.31926824457477,0.3808502003900365,1.9257077632909485,90
1036,41.29614485981308,644.6577102803739,269.0730140186916,2058.0,1.3330403105125415,13059.5625,24112.893691588786,Ezi_3,E(z) RNAi,0.499024643274006,0.2900763514437976,-18.53687794662889,0.5772087007848153,0.5265460115129662,90
1037,39.93096234309623,652.8294979079498,126.19874476987448,1403.0,1.5800474675936926,14197.40690376569,27682.878661087867,Ezi_3,E(z) RNAi,0.7996487013845532,0.2736168931235421,-12.099881144042051,0.8451652204324207,0.32968358843085405,90
1038,40.34511913912375,668.6479631053036,441.2213681783244,1639.0,1.3519997346370838,6385.86856264412,28794.919292851653,Ezi_3,E(z) RNAi,0.1445233473039904,0.38889597563983824,-27.30997505517744,0.4148820046529031,1.2149881091007741,90
1039,41.16974900924703,672.6426684280053,205.4015852047556,1908.0,1.3271542053575527,10550.0964332893,37188.0462351387,Ezi_3,E(z) RNAi,0.6382703142811954,0.3393438898491907,-14.05617225591277,0.7228715443774195,0.4886549899908674,90
1040,39.801278636121474,679.5780500799148,713.5759190197123,2676.0,1.7829786888667216,6399.418220564731,20249.472029834844,Ezi_3,E(z) RNAi,-0.42236287523536364,0.48225739229429254,-41.487258516026465,0.641063640210217,2.2900814163621166,90
1041,40.975158084914185,686.8870822041554,228.68202348690153,3143.0,1.5796452969113437,18507.133242999098,41677.19738030714,Ezi_3,E(z) RNAi,0.5927462012692397,0.3783121395869069,-14.797230970600062,0.7031842817341251,0.5680609797089023,90
1042,41.88052943225357,694.5148032044584,318.77220480668757,3688.0,1.6486500219723317,18151.56704980843,38306.64507140369,Ezi_3,E(z) RNAi,0.40597950880451794,0.41842770942108376,-18.217751908839617,0.583010385482568,0.8004965934196484,90
1043,40.48344370860927,702.5239429444728,750.1538461538462,4745.0,1.6521079155358358,7225.335965359144,45592.7058074376,Ezi_3,E(z) RNAi,-0.4938835731489043,0.5447049160144581,-41.6398302916873,0.735271670443413,2.3073004011818092,90
1044,41.250501806503415,711.6615816940988,224.3958249698916,2932.0,1.311091196368089,19278.584504215174,38946.445202729825,Ezi_3,E(z) RNAi,0.6070989287854425,0.43486992438377037,-13.148684487758807,0.7467803964124781,0.6215874008759316,90
1045,41.609496810772505,710.7902197023387,576.2289156626506,1910.0,1.6094968751069412,5567.738483345145,26079.253012048193,Ezi_3,E(z) RNAi,-0.12862535947756648,0.5204893624290421,-31.10087883185372,0.5361470502600233,1.8130662427765387,90
1046,39.1837899543379,709.8139269406392,633.7545662100457,1286.0,1.9682356923174866,5541.20205479452,20944.869863013697,Ezi_3,E(z) RNAi,-0.24880515738330722,0.5327850916564858,-36.55322329190896,0.5880169727413846,2.0076887295640704,90
1047,41.795048701298704,748.6099837662338,567.5896915584416,3298.0,1.4483205038967246,6497.114853896104,30987.28612012987,Ezi_3,E(z) RNAi,-0.10230534798659974,0.6063282575855786,-28.709635094457205,0.6148986421951369,1.73795122580559,90
1048,40.78083785880528,751.5938712179984,237.04965089216446,3159.0,1.4113855202009964,18230.03452288596,36621.50737005431,Ezi_3,E(z) RNAi,0.5894474150980638,0.5309938720030893,-12.418587705229434,0.7933490702525732,0.7332753089424334,90
