label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1412,41.25138632162662,859.3521256931608,484.1072088724584,1494.0,1.3138110359607305,22999.927911275416,NICD_3,NICD OE,-0.011229815683130862,-0.877657178811778,-0.08012029941788512,-90,2500
1413,38.82346368715084,285.17988826815645,664.654748603352,1229.0,1.4393258439137597,23177.61899441341,NICD_3,NICD OE,0.08439644806505697,0.6813211394648866,-24.52135842726659,-90,2500
1414,39.85976039464411,307.22057787174066,819.2403100775193,1979.0,1.5019856193199792,35495.898520084564,NICD_3,NICD OE,0.5334760118619033,0.7261154573658626,-15.517012365568633,-90,2500
1415,39.76258992805755,308.9177800616649,680.3412127440904,1374.0,1.7277115416654996,27437.929085303185,NICD_3,NICD OE,0.14522402266528545,0.6319392801163828,-21.65281215005973,-90,2500
1416,38.44788732394366,342.37464788732393,753.2112676056338,1361.0,1.751868825017674,31631.481690140845,NICD_3,NICD OE,0.3737197776106955,0.5949228651384229,-18.002654221341302,-90,2500
1417,38.436860068259385,338.1689419795222,729.2918088737201,1017.0,1.68620500106936,32483.313993174062,NICD_3,NICD OE,0.3036389998235589,0.5900049047562788,-19.288480125296545,-90,2500
1418,38.954601226993866,354.5717791411043,648.9779141104294,1192.0,1.8990561369261574,26716.99754601227,NICD_3,NICD OE,0.0900920224517614,0.49686957468671533,-21.458399211127357,-90,2500
1419,40.781354051054386,371.4761376248613,781.4661487236403,1404.0,1.6029534990501613,49397.55826859045,NICD_3,NICD OE,0.473404575113999,0.5403455670028081,-12.90848594858717,-90,2500
1420,41.82176207876573,384.0767356881851,813.7925294356476,3509.0,1.5689754087340193,48650.289890377586,NICD_3,NICD OE,0.5729024005899896,0.5297221474832898,-9.786430042494828,-90,2500
1421,39.82501861504095,427.9784065524944,739.9828741623231,1732.0,1.4835179032475025,46523.03425167535,NICD_3,NICD OE,0.3976853828986122,0.3714586744243169,-12.742005627842943,-90,2500
1422,37.8562874251497,435.92415169660677,539.1956087824351,788.0,1.7471639478122183,38656.471057884235,NICD_3,NICD OE,-0.15932996269876698,0.2213358911522303,-23.148858802640973,-90,2500
1423,38.9169656586366,442.65761148129167,655.7985648385443,2524.0,1.6484066132417745,38682.64428498206,NICD_3,NICD OE,0.17228180794353798,0.2800014473574477,-16.59513509898568,-90,2500
1424,39.01051840721262,450.389181066867,781.2306536438767,1836.0,1.4525425186454084,52474.39368895567,NICD_3,NICD OE,0.5295217483319918,0.3417748506401883,-10.564658134803437,-90,2500
1425,40.091566265060244,460.0345381526104,668.5473895582329,3439.0,1.4867659244305271,43663.48192771084,NICD_3,NICD OE,0.2202803853481614,0.24472169261900323,-13.953433546338871,-90,2500
1426,39.530880420499344,467.5131406044678,850.0716162943495,1880.0,1.2722936278768577,42617.43298291721,NICD_3,NICD OE,0.7347310950525712,0.3433689966218365,-6.1143894571110025,-90,2500
1427,40.53523082263103,470.9163484901076,714.3137799375216,3954.0,1.6118186106889492,44865.804928844154,NICD_3,NICD OE,0.3563308458310519,0.2470536916644439,-10.92358036460756,-90,2500
1428,39.137373737373736,483.5037037037037,810.2538720538721,1911.0,1.6455222009988042,47439.628282828286,NICD_3,NICD OE,0.634590115581863,0.27738679242884556,-7.428480231675223,-90,2500
1429,40.096200980392155,487.43075980392155,716.1047794117648,2072.0,1.8726697276544195,42864.586397058825,NICD_3,NICD OE,0.3732460142159775,0.20668218174626407,-10.420176523737169,-90,2500
1430,39.63642756680731,508.4036568213783,697.907876230661,2340.0,1.5236595532669226,49032.574542897324,NICD_3,NICD OE,0.33730877575052753,0.14217124848311058,-10.586401087601686,-90,2500
1431,39.1138353765324,509.94746059544656,664.8563922942207,900.0,1.8038788560852643,45842.93695271454,NICD_3,NICD OE,0.2458196769352885,0.11684669858500407,-12.485206843778087,-90,2500
1432,38.14475627769572,504.21861152141804,902.615952732644,1085.0,1.9521194182504673,29644.165435745937,NICD_3,NICD OE,0.9085692465347441,0.2850286189127418,-3.262503128779855,-90,2500
1433,40.34621099554235,511.8967310549777,873.2020802377415,1800.0,1.5805391221594876,35569.980683506685,NICD_3,NICD OE,0.831231813637074,0.2469288321785621,-1.9628228974749646,-90,2500
1434,40.14212328767123,557.605593607306,690.0228310502283,2256.0,1.8539862403852683,51947.284817351596,NICD_3,NICD OE,0.35033917654533164,0.013520306106124647,-7.86036524602406,-90,2500
1435,39.77795031055901,568.3905279503106,866.7375776397515,1676.0,1.3794025444601639,40312.122670807454,NICD_3,NICD OE,0.8536389512543623,0.10076910104613801,0.1352230504640204,-90,2500
1436,40.66042927903137,572.4468904788113,741.7369290038525,2410.0,1.5201288863283478,58742.38139790864,NICD_3,NICD OE,0.5058898513057626,0.009763087719290686,-4.286896229933504,-90,2500
1437,40.25686591276252,600.1825525040388,860.843295638126,2292.0,1.4183466877465463,41835.31017770598,NICD_3,NICD OE,0.8597926541166683,0.01713907526105185,2.013202062253498,-90,2500
