label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
62,15.876782077393075,726.6313645621182,424.2179226069246,1222.0,1.5623393081961,1933.5112016293278,mCherryi_2_b2,mCherry RNAi,0.1705129780337813,0.5840393626062454,-63.91903490730269,0.608421443369198,1.2867368794951273,70
63,17.846612062546537,589.5979151154132,361.59493670886076,1942.0,1.336385388883294,1548.66269545793,mCherryi_2_b2,mCherry RNAi,0.32249979313242716,0.2226190279604825,-63.39048936864404,0.3918741483952831,0.60418077142391,70
64,16.902838427947597,613.0829694323144,288.8089519650655,1181.0,1.3725448070869424,1819.9410480349345,mCherryi_2_b2,mCherry RNAi,0.5213578769976399,0.27483343363740853,-61.833101115079735,0.5893619025288401,0.48513040102468774,70
65,17.771450265755504,657.6712224753227,412.03264996203495,1601.0,1.7131713513546822,1809.5634016704632,mCherryi_2_b2,mCherry RNAi,0.19489014715145725,0.40436808035430194,-63.271833148845694,0.44888273955025254,1.1216827717086304,70
66,18.402439024390244,701.1963414634147,390.42439024390245,1220.0,1.230084767541081,1793.179268292683,mCherryi_2_b2,mCherry RNAi,0.2582496826841765,0.5142438837905727,-61.063983667974625,0.5754473656404119,1.1053958510633568,70
67,17.498862774829416,750.456406368461,433.4776345716452,1586.0,1.2970808225357948,2663.160727824109,mCherryi_2_b2,mCherry RNAi,0.148323299631977,0.6465769158001287,-62.0036613833916,0.6633713207995383,1.3452999910279788,70
68,16.480247869868318,766.9488768396592,346.3671572424477,1487.0,1.3254051859466844,2035.9775367931836,mCherryi_2_b2,mCherry RNAi,0.3849131712479201,0.6790578723676461,-60.29423267579824,0.7805624532506064,1.0551205768426655,70
69,21.12507797878977,396.9769182782283,278.5386774797255,3804.0,1.250938476470062,2909.9903306300685,mCherryi_2_b2,mCherry RNAi,0.5227213834488866,-0.28485896998050486,-62.27239198788757,0.5953001574777821,-0.49896066505175285,70
70,18.92845117845118,618.2979797979798,300.1557239057239,1714.0,1.2994078032139482,2900.820707070707,mCherryi_2_b2,mCherry RNAi,0.49128234552473593,0.2895179542088153,-59.99583604822323,0.5702446745332601,0.5325226607354094,70
71,18.266199649737302,645.6409807355517,381.67775831873905,806.0,1.383176415774036,1392.7320490367777,mCherryi_2_b2,mCherry RNAi,0.275132905419631,0.36971587221615554,-62.2330366296396,0.4608556626680421,0.9310343561938265,70
