label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
897,39.099144079885875,252.660485021398,491.6291012838802,1879.0,1.2524615537329395,14060.195435092724,mCherryi_3,mCherry RNAi,932,-0.29152081019094533,0.631559013344422,-4.5616440891769034,0.6955941130508257,2.0032459174093717,-75
898,38.82286634460547,259.06924315619966,730.549114331723,1636.0,1.4199008658590972,10624.393719806763,mCherryi_3,mCherry RNAi,932,0.2686356771317624,0.7243904614884071,-18.37632690373797,0.7725973516155928,1.2156744594960147,-75
899,38.49839914621131,264.5325506937033,746.5474919957311,1226.0,1.460922814699585,8331.312700106724,mCherryi_3,mCherry RNAi,932,0.3083345621484568,0.7184517761801328,-19.50538257466927,0.7818204121866275,1.1654029410938285,-75
900,37.78549540347293,270.5209397344229,761.414708886619,1290.0,1.5196299408387992,8599.984678243105,mCherryi_3,mCherry RNAi,932,0.3455786219408221,0.7107059759597456,-20.946872926262774,0.7902705664564588,1.118211558117571,-75
901,38.5875,271.934375,780.2552083333334,1195.0,1.5931824605969644,11638.771875,mCherryi_3,mCherry RNAi,932,0.39025556550921614,0.7158994843402933,-21.195692093385208,0.8153597231220193,1.0717026960635636,-75
902,39.54710743801653,365.6388429752066,691.7049586776859,1457.0,1.594929835662166,13090.878512396694,mCherryi_3,mCherry RNAi,932,0.22528143292275393,0.4500127330659147,-13.284756754992365,0.5032526045051168,1.106659844282137,-75
903,38.83174136664218,407.8868479059515,821.3247612049963,1862.0,1.52568876946361,13132.718589272594,mCherryi_3,mCherry RNAi,932,0.5462705250317854,0.4068984083238314,-20.563075053800436,0.6811591599728877,0.6402073229226052,-75
904,38.561544064093226,415.4450109249818,669.1238164603059,1633.0,1.4318527455608268,13681.390386016023,mCherryi_3,mCherry RNAi,932,0.19452691601208372,0.3196746320757964,-11.973518179724651,0.3742092882946227,1.0241390653823221,-75
905,38.66193548387097,455.64516129032256,839.8954838709677,1121.0,1.6288913427436222,19881.43870967742,mCherryi_3,mCherry RNAi,932,0.6107106883298303,0.3002094914419402,-20.833019761793963,0.6805095764147067,0.45688411022449305,-75
906,38.79025423728814,454.215395480226,884.5967514124294,1778.0,1.541621383478097,18480.27895480226,mCherryi_3,mCherry RNAi,932,0.7143732555982956,0.32392669882733816,-23.290979112653865,0.7843836143923997,0.42571244490804955,-75
907,39.25408496732026,489.7598039215686,737.8210784313726,1641.0,1.6075204938813956,10329.263071895424,mCherryi_3,mCherry RNAi,932,0.38776499777448814,0.17177210539944743,-13.715421842692603,0.42410771001292547,0.4170007067641626,-75
908,38.35689045936396,497.5724381625442,765.5229681978799,520.0,1.8829663165589983,10676.60777385159,mCherryi_3,mCherry RNAi,932,0.4557343483133953,0.165433910957556,-16.038358854410447,0.4848321102478132,0.34821338659679757,-75
909,39.09163987138264,522.6551446945338,896.7958199356913,1534.0,1.3893465960131361,27304.876205787783,mCherryi_3,mCherry RNAi,932,0.7731626724172329,0.16454412944353058,-22.309535417596738,0.7904778861889097,0.2096911136505613,-75
910,38.77307963354475,529.4524312896406,847.031712473573,2034.0,1.3812920188973257,24721.229739252994,mCherryi_3,mCherry RNAi,932,0.6600415877264767,0.12558254774819488,-19.643724575412662,0.6718823362966285,0.18801731352079554,-75
911,38.662363455809334,530.8947368421053,789.4607745779543,1575.0,1.5769358687553652,17849.476663356505,mCherryi_3,mCherry RNAi,932,0.5263643130110158,0.0960029225670802,-16.43170188995007,0.5350476157810438,0.1804057422768789,-75
912,38.14711033274956,540.8161120840631,683.6812609457093,2140.0,1.6058798421665172,16163.400467016929,mCherryi_3,mCherry RNAi,932,0.28392839537936365,0.024107416614232324,-10.694800847011209,0.2849499977864755,0.08470352041388296,-75
913,38.14023144996597,550.9686861810756,723.2382573179034,1793.0,1.4885108295684404,18763.29884275017,mCherryi_3,mCherry RNAi,932,0.38070023835527045,0.017570203402788698,-12.76013095056842,0.3811054755987837,0.0461196040561804,-75
914,38.7407157326131,551.6407832545577,776.2538825118163,1967.0,1.4049999879394457,24070.617825793383,mCherryi_3,mCherry RNAi,932,0.5047478621901662,0.040026005994050706,-15.180101889362437,0.5063323864235615,0.07913341525476908,-75
915,38.393150684931506,563.6102739726027,785.8417808219178,1930.0,1.4519728860169734,22887.015753424657,mCherryi_3,mCherry RNAi,932,0.5323693120082511,0.015500474248368867,-15.83444060585337,0.5325949202443288,0.029107794135758633,-75
916,37.64342105263158,564.5315789473684,826.3789473684211,1041.0,1.4818012419978888,20891.001315789475,mCherryi_3,mCherry RNAi,932,0.6272489470956804,0.031598783594536384,-18.883260033839402,0.628044365277879,0.05033423123742698,-75
917,38.72748267898383,569.6385681293302,626.8920323325635,2062.0,1.4435027646729341,14478.33025404157,mCherryi_3,mCherry RNAi,932,0.16428030227802237,-0.07105040152634379,-6.286199772086896,0.17898652819028887,-0.40820177328682083,-75
918,38.497812773403325,585.514435695538,693.7795275590552,1570.0,1.5210917855202657,9126.553805774278,mCherryi_3,mCherry RNAi,932,0.32731444386484476,-0.07900868325036992,-10.02214137349449,0.3367151870520691,-0.2368538088612987,-75
919,40.1051912568306,587.3374316939891,875.8463114754098,2087.0,1.3946372167121568,34017.27390710382,mCherryi_3,mCherry RNAi,932,0.7530485402131613,-0.0007555587632495087,-18.796574056339633,0.7530489192517428,-0.0010033330779726497,-75
920,38.58527131782946,608.0806201550388,767.5713178294574,1839.0,1.4378467909376094,17227.962790697675,mCherryi_3,mCherry RNAi,932,0.5094558993887799,-0.09993690989757198,-13.701761123577796,0.5191653873111208,-0.19370439750347923,-75
921,40.07148936170213,616.4970212765958,758.508085106383,1726.0,1.4533094108803633,16763.293617021278,mCherryi_3,mCherry RNAi,932,0.49222394467132213,-0.12421705869164257,-11.530274623629536,0.507655679942419,-0.24719750311993272,-75
922,38.05825242718446,623.8466019417476,620.5611650485437,973.0,1.6787164702808242,5580.704854368932,mCherryi_3,mCherry RNAi,932,0.17342241959030047,-0.2046072062268025,-5.500185772873914,0.2682152949712069,-0.8677047698537157,-75
923,38.89469696969697,642.094696969697,772.4553030303031,1909.0,1.5065157153044066,17496.675,mCherryi_3,mCherry RNAi,932,0.5359436784645637,-0.17967137388442156,-12.987205337147692,0.5652587275572517,-0.3234682808471891,-75
924,37.98609625668449,666.2877005347593,854.8866310160428,1239.0,1.3357539471804163,14717.863101604278,mCherryi_3,mCherry RNAi,932,0.7388353146971782,-0.20067833085921682,-18.122529514360156,0.7656039542218416,-0.2652159545371004,-75
925,38.885572139303484,681.9687277896234,739.8770433546553,1762.0,1.598626280595615,21220.49751243781,mCherryi_3,mCherry RNAi,932,0.47759334740626147,-0.2905323807813992,-10.329466180501447,0.559020992243785,-0.5465189712012862,-75
926,38.762394761459305,703.4050514499532,772.8709073900842,1461.0,1.5177863899530892,11505.816651075771,mCherryi_3,mCherry RNAi,932,0.5640347289877787,-0.32724616006370677,-11.90814740975428,0.6520929571623651,-0.5257244302934008,-75
