label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1383,56.44890234670704,548.4049962149886,176.40953822861468,1556.0,1.598409924726664,18457.479182437546,Vsx1i_1,Vsx1 NE RNAi,884,0.5722990616173049,0.20435223530031554,16.436638615645386,0.6076891080151785,0.3429615077081252,75
1384,55.986175115207374,580.3594470046083,64.5852534562212,536.0,1.915332367770039,11282.741935483871,Vsx1i_1,Vsx1 NE RNAi,884,0.8526706995779305,0.3034849696671251,12.778313644973544,0.9050693060382576,0.34194150879685953,75
1385,57.527849740932645,612.5181347150259,108.9261658031088,1994.0,1.4013037244622306,21778.084196891192,Vsx1i_1,Vsx1 NE RNAi,884,0.7294900090089671,0.3658668293792171,16.126246095242813,0.8160969366955767,0.4648771086829931,75
1386,58.256726457399104,711.6244394618834,107.41535874439462,2480.0,1.3101177726720146,16013.75168161435,Vsx1i_1,Vsx1 NE RNAi,884,0.7066554515763244,0.5910825998796896,17.999954152583406,0.9212711691587185,0.6965753424144439,75
1387,57.577189666036546,745.7813484562067,249.55387523629489,1943.0,1.3001255200920154,19926.82608695652,Vsx1i_1,Vsx1 NE RNAi,884,0.32994725152792514,0.6347616901285076,22.28362112282884,0.7153933128326203,1.0914368039502158,75
1388,58.74281018898932,768.7107641741989,261.50698438783894,1571.0,1.7269488306567633,20344.020542317172,Vsx1i_1,Vsx1 NE RNAi,884,0.2929490406754591,0.6839197470594847,24.1074717929641,0.7440197314927752,1.1661014872512137,75
1389,57.6551724137931,772.6405610753945,289.5131502045587,2009.0,1.617758234312232,28291.631794272354,Vsx1i_1,Vsx1 NE RNAi,884,0.2193998168120257,0.6861910299198635,23.96458716019479,0.7204126658795176,1.2613330874420792,75
1390,57.90802139037433,829.403743315508,314.24919786096257,2253.0,1.4057303054420782,28684.66256684492,Vsx1i_1,Vsx1 NE RNAi,884,0.14013047323656513,0.8090923677284816,25.693016968328813,0.8211376310010302,1.399302895210647,75
1391,59.03872053872054,846.0757575757576,334.4006734006734,2160.0,1.607283090510774,15924.43771043771,Vsx1i_1,Vsx1 NE RNAi,884,0.08362966087249246,0.8421015749378156,27.669122672115797,0.8462440444046844,1.4718102383650646,75
1392,61.016039823008846,55.051991150442475,472.1399336283186,2541.0,1.6492386785949666,12369.462942477876,Vsx1i_1,Vsx1 NE RNAi,884,-0.0583142544973706,-0.9855452166297001,24.528751929399327,0.9872689229886994,-1.6298969573023494,75
1393,60.079268292682926,160.10182926829268,321.1932926829268,2436.0,1.449293773002107,14218.843902439025,Vsx1i_1,Vsx1 NE RNAi,884,0.3033754030691975,-0.7112379751005969,20.024282659702344,0.7732374101222699,-1.1676173016151319,75
1394,59.93456464379947,173.14722955145118,457.6089709762533,2314.0,1.630920339035644,20365.775725593667,Vsx1i_1,Vsx1 NE RNAi,884,-0.05278440937697726,-0.714108770937791,24.404951720860844,0.7160569325155359,-1.64457863230473,75
1395,57.90372670807454,248.57142857142858,300.6894409937888,1267.0,1.5544870482898474,10607.348861283645,Vsx1i_1,Vsx1 NE RNAi,884,0.332262359807622,-0.505578190176639,18.258987502572545,0.6049856048925589,-0.9893812450246203,75
1396,57.109550561797754,343.30056179775283,250.8932584269663,539.0,1.8358098222381571,6749.758426966292,Vsx1i_1,Vsx1 NE RNAi,884,0.43529278831922213,-0.2787698947813889,17.011668606575476,0.5169066316068597,-0.5696105816983789,75
