label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
141,43.16517150395779,146.77255936675462,481.60633245382587,2386.0,1.2225592043676206,17972.94617414248,6836.815831134565,27624.303957783643,Bi_3,Bi OE,0.0699936265893013,0.7166659377937418,-6.707145033887933,85,True,17500,30000
142,41.13193657984145,140.45753114382785,379.861268403171,2727.0,1.4486568057860356,16709.28652321631,6654.895809739524,4193.202718006795,Bi_3,Bi OE,0.32641855520538554,0.7162932992356883,-10.640995372783436,85,True,17500,30000
143,40.9080459770115,159.3532970356927,322.9255898366606,2213.0,1.312006042136083,15914.799153055052,7326.768905021174,6168.627344222626,Bi_3,Bi OE,0.46633977142111727,0.6695136494155436,-12.102171731809072,85,True,17500,30000
144,38.54126679462572,746.1055662188099,257.27447216890596,777.0,1.5977488307147392,10563.690978886756,9274.543186180423,4174.2917466410745,Bi_3,Bi OE,0.536528324919463,-0.5570076830837241,-20.26591756912815,85,True,17500,30000
145,41.06904825379899,800.3607038123167,477.346840842442,4934.0,1.827592720188472,23774.508930951746,9636.243668355106,4143.4510797120765,Bi_3,Bi OE,-0.02474354569825976,-0.640426279933852,-13.940808712830474,85,True,17500,30000
146,40.761160714285715,840.8928571428571,507.1322544642857,2316.0,1.5065819276795085,20307.712053571428,9928.21484375,3723.8671875,Bi_3,Bi OE,-0.1060875534322443,-0.7205904540635051,-13.991373660575064,85,True,17500,30000
147,43.4940594059406,914.6089108910891,552.7886138613861,2825.0,1.433225610474046,14325.633663366336,7451.390594059406,3480.460891089109,Bi_3,Bi OE,-0.23249221969176048,-0.867577988477255,-10.954362083614832,85,True,17500,30000
148,42.75844346549192,39.98531571218796,574.4397944199707,1735.0,1.320069789201802,11695.348017621145,5580.922173274596,4458.181350954479,Bi_3,Bi OE,-0.14593877574022718,0.9506512191615583,-4.508530335312244,85,True,17500,30000
149,41.392857142857146,97.4795918367347,563.2984693877551,1483.0,1.3391202120473238,8751.714285714286,7056.543367346939,36959.667517006805,Bi_3,Bi OE,-0.12729072637491234,0.8298632429027522,-6.532137357794497,85,True,17500,30000
150,45.92389210019268,107.24759152215799,466.29527938342966,2824.0,1.2086135439086236,17665.855009633913,5736.732658959538,16846.37668593449,Bi_3,Bi OE,0.11494217264415263,0.7966170749399272,-3.9366668908494447,85,True,17500,30000
151,43.95843989769821,143.5121483375959,497.14897698209717,2197.0,1.3307696922261945,13287.842710997442,7461.621483375959,29417.969948849106,Bi_3,Bi OE,0.03152555065949225,0.7254833527770322,-5.590953791449948,85,True,17500,30000
152,42.708333333333336,207.31583333333333,447.76666666666665,1603.0,1.2641900349860036,9797.225,7547.764166666667,36919.270833333336,Bi_3,Bi OE,0.1451930363668441,0.5865169811403348,-8.28079087010395,85,True,17500,30000
153,40.27683615819209,356.04896421845575,327.18267419962336,1279.0,1.3419198347639651,9702.241996233523,7705.455743879473,4047.987758945386,Bi_3,Bi OE,0.423919374202234,0.2618361528282509,-14.173358855435815,85,True,17500,30000
154,40.59504132231405,359.91322314049586,245.25619834710744,1495.0,1.3191893510639632,22278.09256198347,6850.1537190082645,18166.710743801654,Bi_3,Bi OE,0.6290455213926305,0.24292505245673757,-15.455205856798962,85,True,17500,30000
