label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
122,32.064935064935064,282.2402597402597,738.530303030303,645.0,1.813921685752425,22136.640692640693,18511.430735930735,7612.748917748918,LacZ_3,LacZ OE,0.4524869756020744,-0.8595624808533608,-4.526468050564972,-75,True,17500,30000
123,32.71478463329453,303.51571594877765,699.8731082654249,1280.0,1.7833438306660552,51719.93131548312,21418.162980209545,16604.395809080324,LacZ_3,LacZ OE,0.36804218751265383,-0.7837606707526967,-5.248087296605746,-75,True,17500,30000
124,33.11248185776488,359.4179970972424,765.366473149492,1642.0,1.4379603031842692,48547.801161103045,21901.137155297532,31540.482583454283,LacZ_3,LacZ OE,0.5616182170566946,-0.6784252027356208,-3.820093114653943,-75,True,17500,30000
125,33.181520850367946,437.420278004906,780.6811120196239,1501.0,1.5322244783325516,55539.95421095666,22539.241210139004,64643.154538021256,LacZ_3,LacZ OE,0.6426171795079079,-0.4887758497529673,-4.422870022979595,-75,True,17500,30000
126,33.94091903719912,601.347921225383,761.9015317286652,1659.0,1.4177048880112237,27188.880379285194,20656.475565280816,8832.283005105763,LacZ_3,LacZ OE,0.6860920987121031,-0.061577018014491225,-6.489035608826093,-75,True,17500,30000
127,33.562749445676275,607.1853658536585,624.8288248337029,2779.0,1.4395969090228966,44542.10731707317,22525.11219512195,10080.826607538802,LacZ_3,LacZ OE,0.3485239796587569,0.03017456306467059,-10.750514221984872,-75,True,17500,30000
128,32.89022556390977,185.80150375939849,552.1368421052632,913.0,1.5542752254636343,20201.556390977443,26931.863157894735,7972.612030075188,LacZ_3,LacZ OE,-0.06406590367932607,-1.0,-7.515150191025718,-75,True,17500,30000
129,33.392461197339244,194.4811529933481,569.0022172949002,698.0,1.950701650985102,18860.838137472285,21969.90465631929,7337.033259423503,LacZ_3,LacZ OE,-0.01738768819017389,-0.9873811229389724,-6.667443057173884,-75,True,17500,30000
130,33.34939759036145,193.5,515.4427710843373,549.0,1.6960689086104173,13549.174698795181,18588.82530120482,7516.05421686747,LacZ_3,LacZ OE,-0.15108980828544105,-0.9598154421842269,-8.18205588928187,-75,True,17500,30000
131,34.47292817679558,232.37127071823204,464.2165745856354,1215.0,1.4473591244666553,31343.82320441989,30200.822099447512,8532.139226519337,LacZ_3,LacZ OE,-0.2571305319675893,-0.8322152109917211,-9.026148830674515,-75,True,17500,30000
132,33.96415094339623,240.24056603773585,671.3179245283019,1322.0,1.4951474913013578,33359.12830188679,23722.377358490565,7677.135849056604,LacZ_3,LacZ OE,0.26214719501580563,-0.9284820464498931,-3.9017660923314565,-75,True,17500,30000
133,35.72117476432197,310.15445975344454,334.640681653372,3664.0,1.8336557671563918,51282.62255257433,28497.557287889776,13723.904278462654,LacZ_3,LacZ OE,-0.5365655721414182,-0.5617390095583397,-12.465452953239037,-75,True,17500,30000
134,35.15899324739104,355.8035604665439,692.6212400245549,2026.0,1.458426480098865,50128.900552486186,27202.908532842233,62982.7796193984,LacZ_3,LacZ OE,0.3786373572044279,-0.6466762724534463,-3.741203131173428,-75,True,17500,30000
135,34.06175298804781,418.34661354581675,811.2131474103586,1262.0,1.6538742252263294,55247.34163346614,20991.73107569721,51208.15438247012,LacZ_3,LacZ OE,0.7079783748803488,-0.5543428902350522,-2.4281949102347653,-75,True,17500,30000
136,35.01456310679612,524.5995145631068,793.044498381877,1502.0,1.475008883464558,33916.8859223301,22041.22572815534,8032.665048543689,LacZ_3,LacZ OE,0.7212206930784881,-0.27405643409856006,-3.4733469093380407,-75,True,17500,30000
137,33.779097387173394,690.5522565320665,605.1959619952494,3281.0,1.8751422701059006,42042.05384006334,23761.248614410135,13353.218131433096,LacZ_3,LacZ OE,0.34557624127824993,0.25308063386988877,-12.250663389449869,-75,True,17500,30000
138,35.30282555282555,233.07616707616708,605.5939803439803,2080.0,1.612864714961731,49797.28685503686,35952.178132678135,8796.79484029484,LacZ_3,LacZ OE,0.0947130877947957,-0.909732471074417,-4.2857465288240775,-75,True,17500,30000
139,38.40503798480608,232.37065173930426,445.18192722910834,3389.0,1.8866363460112683,49310.24710115953,37658.37824870052,8648.209516193523,LacZ_3,LacZ OE,-0.30469752664861594,-0.8213313650222618,-5.623818689327692,-75,True,17500,30000
140,36.0920177383592,243.05543237250555,567.7777161862527,2310.0,1.750420975077962,47129.20676274945,26232.84756097561,26588.89467849224,LacZ_3,LacZ OE,0.006134021622942187,-0.8631045840579397,-4.685974870133634,-75,True,17500,30000
141,36.096733668341706,267.678391959799,682.2324120603015,1057.0,1.4693974323933587,34692.88190954774,19974.429648241206,8143.653266331658,LacZ_3,LacZ OE,0.3042529194579271,-0.8647658366186595,-1.8532255524098886,-75,True,17500,30000
142,36.711960368011326,309.4338287331918,697.9016277423921,1846.0,1.5977376835180443,51688.28450106157,22026.31847133758,9928.457183297947,LacZ_3,LacZ OE,0.36615255718276774,-0.7674082230965193,-1.3907119194320003,-75,True,17500,30000
143,35.5521052631579,322.5957894736842,612.328947368421,2289.0,1.5095794482245095,52144.097368421055,43915.86,10274.742631578947,LacZ_3,LacZ OE,0.1607076333268933,-0.6859871973720668,-5.108212568900157,-75,True,17500,30000
144,34.29826353421859,336.1430030643514,791.8253319713994,1146.0,1.6912948546418711,34212.37180796731,21184.85597548519,10646.1797752809,LacZ_3,LacZ OE,0.6145214766482181,-0.7523680085112987,-1.5739180384517653,-75,True,17500,30000
145,35.936078006500544,375.92957746478874,857.0574214517876,1225.0,1.490676092900258,46723.177681473455,20790.589382448536,34363.73997833153,LacZ_3,LacZ OE,0.7985031077522864,-0.6877800561926168,1.3128915019941303,-75,True,17500,30000
146,35.375,608.7799043062201,792.9587320574162,2229.0,1.6874381062396377,35687.562799043066,23493.147727272728,8134.866626794258,LacZ_3,LacZ OE,0.7673117466659893,-0.06004673352618051,-4.298813396093628,-75,True,17500,30000
147,37.8364969801553,716.7471958584987,630.1725625539258,3203.0,1.7367271458451135,43431.59016393442,23514.872735116478,12457.84771354616,LacZ_3,LacZ OE,0.4218427098230402,0.30584415855158786,-7.870780803279416,-75,True,17500,30000
148,34.82306870772517,744.2769668921325,553.124955500178,3371.0,1.5802727028124053,53213.32360270559,25513.87184051264,10722.738341046635,LacZ_3,LacZ OE,0.24561412317944376,0.4189007221510067,-13.406505754149045,-75,True,17500,30000
149,36.17370892018779,197.1568075117371,599.6413145539906,1351.0,1.4911672232591835,29954.962441314554,27639.76056338028,7098.749295774648,LacZ_3,LacZ OE,0.06009240683368944,-0.9976351661033582,-3.0754394253033084,-75,True,17500,30000
150,37.03699136868064,297.3434032059186,655.136251541307,2002.0,1.66414517382223,49802.02034525277,23914.122071516646,61433.189272503085,LacZ_3,LacZ OE,0.2531514965470072,-0.7741161056883605,-2.0818899246187144,-75,True,17500,30000
151,35.37187230371009,446.6807592752373,798.4572907679034,1441.0,1.6510941004951454,54901.66177739431,22126.108714408972,8788.706643658326,LacZ_3,LacZ OE,0.6917761797665083,-0.4751053781282766,-1.8707688937801947,-75,True,17500,30000
152,34.57142857142857,454.82380952380953,854.0738095238095,968.0,1.9538518991819935,31427.114285714284,19402.180952380953,13935.34761904762,LacZ_3,LacZ OE,0.8345858128983425,-0.4856670813826238,-1.2428839261884193,-75,True,17500,30000
153,34.988950276243095,665.1701657458564,750.5060773480662,1190.0,1.6496594140529122,22762.17900552486,19039.71270718232,7868.9845303867405,LacZ_3,LacZ OE,0.6928182247143333,0.10707590241461107,-6.654710474244894,-75,True,17500,30000
154,38.00514469453376,649.3151125401929,746.9633440514469,2236.0,1.6967902779591897,29990.550482315113,20237.936334405145,8018.88617363344,LacZ_3,LacZ OE,0.6750998061181495,0.06892377030629104,-3.515345300344883,-75,True,17500,30000
155,38.578947368421055,297.04470854555746,709.4878324844369,2316.0,1.5307388664131707,50427.53310696095,21479.103565365025,9747.358800226373,LacZ_3,LacZ OE,0.3880269703307957,-0.8053021832475831,0.9708500898628785,-75,True,17500,30000
156,35.59189189189189,306.25,743.5567567567567,1019.0,1.552445142135565,40019.105405405404,21453.00135135135,10005.924324324324,LacZ_3,LacZ OE,0.4779813336435692,-0.8011823440033845,-1.1993305228941225,-75,True,17500,30000
157,36.710738255033554,314.1335570469799,678.9020134228188,1787.0,1.6289037027992528,47362.044966442954,22446.059731543624,8916.96644295302,LacZ_3,LacZ OE,0.3215002732595147,-0.7448000323438659,-1.9849147222290142,-75,True,17500,30000
158,40.08362480127186,310.289666136725,373.21907790143086,3907.0,1.9072687043368626,58866.56915739269,27576.18092209857,12532.00985691574,LacZ_3,LacZ OE,-0.4408409129049501,-0.5828245316768759,-7.037119270196442,-75,True,17500,30000
159,35.768953068592054,499.5367027677497,867.1323706377858,1008.0,1.5294704326760886,36036.73285198556,21131.45246690734,28426.617328519857,LacZ_3,LacZ OE,0.8915864739978767,-0.3792979693555054,-0.3123291333271041,-75,True,17500,30000
160,36.89311740890688,500.136032388664,845.1627530364373,1523.0,1.6421015749720635,38391.73522267206,26415.27854251012,7912.482591093118,LacZ_3,LacZ OE,0.8372244059323881,-0.3653861396024969,0.19358401959270566,-75,True,17500,30000
161,35.568471337579616,547.4792993630573,839.7707006369427,843.0,1.569042403194974,25758.777070063694,20997.945859872612,14057.03821656051,LacZ_3,LacZ OE,0.8499533488254503,-0.24210557414072031,-1.9454786196228255,-75,True,17500,30000
162,40.06429942418426,245.25191938579655,425.44721689059503,2717.0,1.829845066231734,47747.08973128599,32553.525911708253,8782.39971209213,LacZ_3,LacZ OE,-0.34677669131441746,-0.7774321269522206,-4.693737649858775,-75,True,17500,30000
163,39.919117647058826,307.8248663101604,733.1898395721926,1888.0,1.4058012795777424,54666.41711229947,23799.67179144385,11248.60026737968,LacZ_3,LacZ OE,0.45280773519870543,-0.7911391156146161,2.8161593227315223,-75,True,17500,30000
164,38.08201892744479,320.42397476340693,717.1022082018927,1957.0,1.5574995057527516,51306.24164037855,22439.89337539432,9688.003154574133,LacZ_3,LacZ OE,0.4198551594864295,-0.7501834104517473,0.35668134975389165,-75,True,17500,30000
165,39.817444219066935,366.6617647058824,672.2576064908723,2442.0,1.74218747425028,49623.60091277891,23138.33265720081,10488.936612576064,LacZ_3,LacZ OE,0.3336974754497588,-0.6074117093863851,0.197614333071769,-75,True,17500,30000
166,36.398286937901496,450.25160599571734,821.1659528907923,1165.0,1.617410864408873,46542.47430406852,22080.41862955032,50041.983940042825,LacZ_3,LacZ OE,0.7501389614620526,-0.4787232182870478,-0.2652684328433992,-75,True,17500,30000
167,35.813602015113354,461.4080604534005,871.8387909319899,505.0,1.5103316137930114,21172.362720403024,19257.823677581862,6897.594458438287,LacZ_3,LacZ OE,0.8823022553391435,-0.47884057773058886,0.3988077053735424,-75,True,17500,30000
168,37.851063829787236,471.65302782324056,825.9459901800327,830.0,1.6720941843789485,33457.229132569555,19450.52536824877,22125.23404255319,LacZ_3,LacZ OE,0.7737122732181514,-0.4269402133399194,1.01852408779245,-75,True,17500,30000
169,37.63534482758621,554.75,813.244827586207,1493.0,1.796131250469825,38457.3974137931,22124.845689655172,7911.225862068965,LacZ_3,LacZ OE,0.7878767355639578,-0.208632884989558,-0.7174521739837942,-75,True,17500,30000
