label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,pca_x,pca_y,pca_z,sample,condition,in_plane,inROI,TE,RFP
316,95.59613615455382,733.378104875805,277.6853725850966,1606.0,1.5649111772167792,871.3799448022079,1393.7939282428704,213.16835326586937,-0.6176968113363337,0.7649084707458976,0.8998779557770149,sgBi_1,sgBi,True,True,False,False
350,100.17640320733105,325.02978235967925,297.1660939289805,2209.0,1.7655258321466147,526.4364261168384,1112.4329896907216,1243.7772050400915,-0.622015059845953,-0.6973173244166477,-11.390034001160274,sgBi_1,sgBi,True,True,True,False
357,99.08169291338582,718.6161417322835,265.78740157480314,1334.0,1.6429900102375492,838.1417322834645,1070.224409448819,173.6801181102362,-0.6621639789538831,0.713824928491102,3.9340037417824476,sgBi_1,sgBi,True,True,False,False
360,99.54801324503312,734.0074503311258,293.2574503311258,1465.0,1.5505075363157905,879.1233443708609,1505.7740066225165,189.4023178807947,-0.5625250984058245,0.7637705313553561,4.674261848519052,sgBi_1,sgBi,True,True,False,False
386,102.20390070921985,313.0921985815603,296.4609929078014,1512.0,1.7645843531356418,488.8244680851064,894.0842198581561,1000.8209219858156,-0.6265638856567988,-0.7401142391880653,-9.841110557798373,sgBi_1,sgBi,True,True,True,False
628,114.65042372881356,331.65889830508473,264.9258474576271,1181.0,1.6281905087052524,559.0911016949152,1492.156779661017,759.0031779661017,-0.7339612940959854,-0.6699860745271855,3.7536121279064645,sgBi_1,sgBi,True,True,True,False
216,61.81679389312977,714.7608142493639,671.7455470737914,1138.0,1.880376605667742,1087.4045801526718,1506.1743002544529,495.2086513994911,-0.6452653679920678,-0.7988323368082098,-16.562914982352368,sgBi_2,sgBi,True,True,False,True
229,60.70321811680572,691.0655542312277,646.2789034564959,1362.0,1.6219852367612668,1012.3134684147795,864.5482717520858,484.1597139451728,-0.5376548509348903,-0.7031370537341621,-17.323421207711583,sgBi_2,sgBi,True,True,False,True
272,65.04519368723099,371.27690100430414,686.7252510760402,1915.0,1.895777395924396,1101.6721664275467,844.5817790530847,291.23242467718796,-0.7266663922494208,0.5707403743678622,-16.3070901929135,sgBi_2,sgBi,True,True,False,True
281,62.734482758620686,685.1632183908046,699.2632183908046,1265.0,1.652434043278883,1137.1781609195402,1217.1908045977011,215.51839080459771,-0.7642769262837499,-0.6820409944081054,-16.453577825791484,sgBi_2,sgBi,True,True,False,True
283,66.07725856697819,679.9077881619937,688.6230529595016,2134.0,1.411805787216552,1136.2616822429907,874.0218068535826,259.3028037383178,-0.7194278355720269,-0.6604728754146694,-12.92832338153704,sgBi_2,sgBi,True,True,False,True
288,65.68307459295721,717.943581976524,652.5804619462325,3595.0,1.8143940114346924,1055.493373722075,849.099204846649,490.6039379023097,-0.5636561915257474,-0.8105054889239534,-12.269587091366965,sgBi_2,sgBi,True,True,False,True
295,65.23620522749275,375.36398838334947,656.0919651500484,1388.0,1.7846273915466908,1101.9641819941917,1236.4714424007745,256.84123910939013,-0.595732605512403,0.5558932370429703,-15.439720127747059,sgBi_2,sgBi,True,True,False,True
304,64.23489932885906,682.4127516778524,674.0234899328859,507.0,1.6718469357528107,1071.2818791946308,1562.9832214765102,220.84563758389262,-0.6568235671214709,-0.669828916867198,-14.443541251212956,sgBi_2,sgBi,True,True,False,True
